"","Proj1","Proj2","Proj3","Proj4","Proj5","Proj6"
"1",6,2,3,3,1,5
"2",2,3,7,6,3,7
"3",3,4,8,6,3,4
"4",6,0,9,3,3,3
"5",7,7,9,6,7,3
"6",2,8,9,6,7,3
"7",1,4,0,9,8,7
"8",7,9,5,9,9,4
"9",9,3,5,9,3,3
"10",10,3,5,8,9,6
"11",3,6,5,6,9,7
"12",2,9,3,8,4,8
"13",3,0,3,8,4,1
"14",6,5,3,8,4,3
"15",8,7,3,9,4,3
"16",3,6,3,9,8,3
"17",8,6,7,5,9,5
"18",1,6,7,4,6,5
"19",3,8,8,3,6,6
"20",1,5,5,1,4,3
"21",6,5,5,8,2,3
"22",9,5,5,5,1,3
"23",3,5,6,3,5,3
"24",5,5,2,3,3,6
"25",3,1,3,3,3,4
"26",7,5,3,3,3,3
"27",4,5,4,5,5,3
"28",3,3,3,6,3,3
"29",6,3,4,6,6,3
"30",3,4,3,4,6,3
"31",1,4,3,3,6,3
"32",6,4,1,3,6,3
